Title,Price,Price_Numeric,Availability,Rating,Rating_Numeric,Price_Category
Security,£39.25,39.25,In stock,Two,2,Premium (£35-50)
The Artist's Way: A Spiritual Path to Higher Creativity,£38.49,38.49,In stock,Five,5,Premium (£35-50)
"Nightingale, Sing",£38.28,38.28,In stock,One,1,Premium (£35-50)
The Omnivore's Dilemma: A Natural History of Four Meals,£38.21,38.21,In stock,Two,2,Premium (£35-50)
The Nameless City (The Nameless City #1),£38.16,38.16,In stock,Four,4,Premium (£35-50)
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",£37.97,37.97,In stock,Two,2,Premium (£35-50)
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",£37.92,37.92,In stock,Two,2,Premium (£35-50)
Done Rubbed Out (Reightman & Bailey #1),£37.72,37.72,In stock,Five,5,Premium (£35-50)
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,£37.60,37.6,In stock,Two,2,Premium (£35-50)
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,37.59,In stock,One,1,Premium (£35-50)
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,£37.34,37.34,In stock,Five,5,Premium (£35-50)
How Music Works,£37.32,37.32,In stock,Two,2,Premium (£35-50)
The Gutsy Girl: Escapades for Your Life of Epic Adventure,£37.13,37.13,In stock,One,1,Premium (£35-50)
The House by the Lake,£36.95,36.95,In stock,One,1,Premium (£35-50)
Romero and Juliet: A Tragic Tale of Love and Zombies,£36.94,36.94,In stock,One,1,Premium (£35-50)
The Bear and the Piano,£36.89,36.89,In stock,One,1,Premium (£35-50)
"Codename Baboushka, Volume 1: The Conclave of Death",£36.72,36.72,In stock,Four,4,Premium (£35-50)
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",£36.28,36.28,In stock,Two,2,Premium (£35-50)
The Psychopath Test: A Journey Through the Madness Industry,£36.00,36.0,In stock,Two,2,Premium (£35-50)
Join,£35.67,35.67,In stock,Five,5,Premium (£35-50)
Doing It Over (Most Likely To #1),£35.61,35.61,In stock,Three,3,Premium (£35-50)
Throne of Glass (Throne of Glass #1),£35.07,35.07,In stock,Three,3,Premium (£35-50)
Rip it Up and Start Again,£35.02,35.02,In stock,Five,5,Premium (£35-50)
Drive: The Surprising Truth About What Motivates Us,£34.95,34.95,In stock,Four,4,Standard (£20-35)
Black Dust,£34.53,34.53,In stock,Five,5,Standard (£20-35)
Her Backup Boyfriend (The Sorensen Family #1),£33.97,33.97,In stock,One,1,Standard (£20-35)
You can't bury them all: Poems,£33.63,33.63,In stock,Two,2,Standard (£20-35)
My Paris Kitchen: Recipes and Stories,£33.37,33.37,In stock,Two,2,Standard (£20-35)
The Art of War,£33.34,33.34,In stock,Five,5,Standard (£20-35)
The Dirty Little Secrets of Getting Your Dream Job,£33.34,33.34,In stock,Four,4,Standard (£20-35)
Penny Maybe,£33.29,33.29,In stock,Three,3,Standard (£20-35)
The Shadow Hero (The Shadow Hero),£33.14,33.14,In stock,One,1,Standard (£20-35)
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,£32.24,32.24,In stock,Five,5,Standard (£20-35)
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,£32.00,32.0,In stock,Three,3,Standard (£20-35)
When We Collided,£31.77,31.77,In stock,One,1,Standard (£20-35)
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,£31.12,31.12,In stock,Three,3,Standard (£20-35)
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,31.05,In stock,Three,3,Standard (£20-35)
Algorithms to Live By: The Computer Science of Human Decisions,£30.81,30.81,In stock,One,1,Standard (£20-35)
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,30.52,In stock,Three,3,Standard (£20-35)
Mrs. Houdini,£30.25,30.25,In stock,Five,5,Standard (£20-35)
Frostbite (Vampire Academy #2),£29.99,29.99,In stock,Five,5,Standard (£20-35)
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,£29.69,29.69,In stock,Three,3,Standard (£20-35)
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",£29.17,29.17,In stock,Two,2,Standard (£20-35)
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,£29.14,29.14,In stock,Five,5,Standard (£20-35)
"Shobu Samurai, Project Aryoku (#3)",£29.06,29.06,In stock,Three,3,Standard (£20-35)
First Steps for New Christians (Print Edition),£29.00,29.0,In stock,One,1,Standard (£20-35)
Burning,£28.81,28.81,In stock,Three,3,Standard (£20-35)
Modern Romance,£28.26,28.26,In stock,Five,5,Standard (£20-35)
A Fierce and Subtle Poison,£28.13,28.13,In stock,Four,4,Standard (£20-35)
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",£28.09,28.09,In stock,Two,2,Standard (£20-35)
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,£27.55,27.55,In stock,Three,3,Standard (£20-35)
The Secret (The Secret #1),£27.37,27.37,In stock,Four,4,Standard (£20-35)
Reasons to Stay Alive,£26.41,26.41,In stock,Two,2,Standard (£20-35)
Soft Apocalypse,£26.12,26.12,In stock,Two,2,Standard (£20-35)
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",£25.52,25.52,In stock,One,1,Standard (£20-35)
Chase Me (Paris Nights #2),£25.27,25.27,In stock,Five,5,Standard (£20-35)
"Saga, Volume 6 (Saga (Collected Editions) #6)",£25.02,25.02,In stock,Three,3,Standard (£20-35)
The Wedding Dress,£24.12,24.12,In stock,One,1,Standard (£20-35)
Shoe Dog: A Memoir by the Creator of NIKE,£23.99,23.99,In stock,Two,2,Standard (£20-35)
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",£23.89,23.89,In stock,Four,4,Standard (£20-35)
Olio,£23.88,23.88,In stock,One,1,Standard (£20-35)
The Elephant Tree,£23.82,23.82,In stock,Five,5,Standard (£20-35)
The Emerald Mystery,£23.15,23.15,In stock,Two,2,Standard (£20-35)
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,£23.11,23.11,In stock,Five,5,Standard (£20-35)
The Requiem Red,£22.65,22.65,In stock,One,1,Standard (£20-35)
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,22.6,In stock,Four,4,Standard (£20-35)
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,22.5,In stock,Three,3,Standard (£20-35)
Grumbles,£22.16,22.16,In stock,Two,2,Standard (£20-35)
"Giant Days, Vol. 2 (Giant Days #5-8)",£22.11,22.11,In stock,Two,2,Standard (£20-35)
In the Country We Love: My Family Divided,£22.00,22.0,In stock,Four,4,Standard (£20-35)
Fifty Shades Darker (Fifty Shades #2),£21.96,21.96,In stock,One,1,Standard (£20-35)
You Are What You Love: The Spiritual Power of Habit,£21.87,21.87,In stock,Four,4,Standard (£20-35)
Follow You Home,£21.36,21.36,In stock,One,1,Standard (£20-35)
Tuesday Nights in 1980,£21.04,21.04,In stock,Two,2,Standard (£20-35)
Shakespeare's Sonnets,£20.66,20.66,In stock,Four,4,Standard (£20-35)
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",£20.59,20.59,In stock,Five,5,Standard (£20-35)
Redeeming Love,£20.47,20.47,In stock,Five,5,Standard (£20-35)
Secrets and Lace (Fatal Hearts #1),£20.27,20.27,In stock,One,1,Standard (£20-35)
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),£19.92,19.92,In stock,Two,2,Budget (£0-20)
Reskilling America: Learning to Labor in the Twenty-First Century,£19.83,19.83,In stock,Two,2,Budget (£0-20)
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,£19.73,19.73,In stock,One,1,Budget (£0-20)
"In a Dark, Dark Wood",£19.63,19.63,In stock,One,1,Budget (£0-20)
This One Summer,£19.49,19.49,In stock,Four,4,Budget (£0-20)
Large Print Heart of the Pride,£19.15,19.15,In stock,Two,2,Budget (£0-20)
The Torch Is Passed: A Harding Family Story,£19.09,19.09,In stock,One,1,Budget (£0-20)
"Pop Gun War, Volume 1: Gift",£18.97,18.97,In stock,One,1,Budget (£0-20)
Unicorn Tracks,£18.78,18.78,In stock,Three,3,Budget (£0-20)
Maude (1883-1993):She Grew Up with the country,£18.02,18.02,In stock,Two,2,Budget (£0-20)
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,17.93,In stock,Three,3,Budget (£0-20)
The Four Agreements: A Practical Guide to Personal Freedom,£17.66,17.66,In stock,Five,5,Budget (£0-20)
Set Me Free,£17.46,17.46,In stock,Five,5,Budget (£0-20)
The Stranger,£17.44,17.44,In stock,Four,4,Budget (£0-20)
Thirst,£17.27,17.27,In stock,Five,5,Budget (£0-20)
The Genius of Birds,£17.24,17.24,In stock,One,1,Budget (£0-20)
Camp Midnight,£17.08,17.08,In stock,Four,4,Budget (£0-20)
Louisa: The Extraordinary Life of Mrs. Adams,£16.85,16.85,In stock,Two,2,Budget (£0-20)
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,£16.77,16.77,In stock,Three,3,Budget (£0-20)
A Murder in Time,£16.64,16.64,In stock,One,1,Budget (£0-20)
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),£16.28,16.28,In stock,One,1,Budget (£0-20)
Something More Than This,£16.24,16.24,In stock,Four,4,Budget (£0-20)
First and First (Five Boroughs #3),£15.97,15.97,In stock,Four,4,Budget (£0-20)
Sophie's World,£15.94,15.94,In stock,Five,5,Budget (£0-20)
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",£15.44,15.44,In stock,Four,4,Budget (£0-20)
Obsidian (Lux #1),£14.86,14.86,In stock,Two,2,Budget (£0-20)
Untitled Collection: Sabbath Poems 2014,£14.27,14.27,In stock,Four,4,Budget (£0-20)
Poems That Make Grown Women Cry,£14.19,14.19,In stock,Four,4,Budget (£0-20)
On a Midnight Clear,£14.07,14.07,In stock,Three,3,Budget (£0-20)
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",£14.02,14.02,In stock,Four,4,Budget (£0-20)
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,13.99,In stock,Two,2,Budget (£0-20)
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",£13.61,13.61,In stock,Five,5,Budget (£0-20)
Little Red,£13.47,13.47,In stock,Three,3,Budget (£0-20)
Princess Between Worlds (Wide-Awake Princess #5),£13.34,13.34,In stock,Five,5,Budget (£0-20)
In Her Wake,£12.84,12.84,In stock,One,1,Budget (£0-20)
The Third Wave: An Entrepreneur’s Vision of the Future,£12.61,12.61,In stock,Five,5,Budget (£0-20)
So You've Been Publicly Shamed,£12.23,12.23,In stock,Two,2,Budget (£0-20)
The Long Shadow of Small Ghosts: Murder and Memory in an American City,£10.97,10.97,In stock,One,1,Budget (£0-20)
The Argonauts,£10.93,10.93,In stock,Two,2,Budget (£0-20)
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),£10.76,10.76,In stock,One,1,Budget (£0-20)
The Project,£10.65,10.65,In stock,One,1,Budget (£0-20)
Patience,£10.16,10.16,In stock,Three,3,Budget (£0-20)
